Hot_Talking	395 1354 1281 362 141 127 1793 2399 365 1657 2139 258 185 615 394 593 2259 1516 2109 561 765 952 1249 730 2359 1008 1416 1585 1142 959 1515 1773 2070 1977 979 2184 2592 2335 1892 1780 2336 393 690 526 2155 307 715 529 86 400 956 1569 1866 1276 278 1128 1536 1776 1333 1576 2132 2319 2616 2097
PostModern_Talking	379 1786 763 61 237 2125 60 1763 2125 276 2620 1400 2649 1947 2620 1881 171 1874 1739 2517 2501 2613 2178 255 2590 1000 2417 2492 29 548 1334 1446 2005 82 500 1537 1960 2035 1489 2008 1161 1273 2542 619 43 1080 793 868 1316 1835 1698 1810 2085 162 1503 2540 620 695 1853 2372 1241 1353 918 1622
Surreal_Games	1977 136 2614 2405 689 2585 105 1376 1806 1297 1461 2632 1426 1683 2652 1714 471 543 587 278 2180 2215 2074 840 744 1297 1119 2327 1306 2488 201 1372
Loud_Sports	791 2626 409 1149 983 1967 749 1230 2396 2159 2161 565 221 1025 540 1349 2522 403 1065 2355 679 77 443 253 1685 861 117 2258 2210 1867 901 1932
Hot_Show	974 804 987 1586 1425 1440 2548 2518 1839 1891 79 1618 548 1769 1381 1255 2368 1369 389 2557 2005 562 2616 1565 680 199 1809 1165 2315 1501 1446 358
Hot_News	1395 1171 2362 2534 1587 512 75 2615 373 704 1913 1879 399 2268 292 36 73 1646 817 1042 857 1320 195 1567 1863 2104 2496 945 2388 483 653
Loud_Show	182 1036 1369 1795 485 932 1857 2616 344 1235 2265 552 2392 1833 2272 1595 734 2432 1021 1602 1777 774 1620 351 1784 1817 2589 950 533 1824 1005 1919
Hourly_Sports	31 756 1587 598 307 1873 299 420 425 844 1416 376 2420 680 397 938 984 2389 2069 2425 1546 953 1151 1470 406 1515 2342 552 2078 375 277 1743 1160
Almost_Talking	191 2190 1665 1296 57 983 2564 2084 938 1309 1154 526 1137 768 1091 2017 2462 1982 1901 2272 937 975 744 1078 2232 1419 2114 820 2202 1130 196 234 500 834 2343 1530 1728 434 1461 389 2579 2617 611 945 1957 1144 987 2320 1217 145 63 101 225 559 1216 403 743 2076 1328 256 2304 2342 2111 2445
Dumb_News	1649 1428 2563 2029 250 695 2533 260 294 1931 775 1850 2436 1642 338 673 186 1908 49 236 1636 2285 315 2574 1199 1108 692 213 910 671 2142
Cold_News	915 2191 1652 842 1588 1310 882 627 1521 1983 1588 1757 866 497 892 1912 2649 2539 1602 1216 177 1695 1017 1926 2108 1850 173 1341 191 1154 328
Surreal_Talking	1511 1993 609 536 1321 1100 802 2468 1370 1963 912 1394 1217 1144 1290 1069 2191 1230 771 1364 1381 1937 278 575 2115 1117 1612 2020 130 2314 285 841 531 828 2581 1583 729 1137 1661 1218 538 1094 997 1294 1698 700 2260 41 1914 1471 1004 1560 114 411 602 2231 2513 294 2380 1937 121 677 1645 1942
Cold_Sports	2092 2466 1251 1676 2136 1067 518 1646 367 1111 973 456 111 58 684 2646 1561 435 950 2357 1124 1885 1327 2623 835 1448 150 373 1101 1159 2340 1823
Cold_Talking	544 524 192 910 2021 2098 2543 2326 2068 2085 939 1842 1510 2512 996 150 595 94 2463 776 33 1718 1719 383 532 421 1310 224 2186 911 357 2610 2611 2056 2205 1526 2415 548 2510 1803 1249 1656 1657 534 683 1850 112 1440 775 849 295 134 135 858 1007 115 1004 486 2448 1954 1400 458 459 1750
Loud_Talking	1958 1478 1681 2052 2110 1482 744 375 485 1411 578 98 230 601 233 2232 1565 1196 1732 32 798 2131 1312 240 1862 1900 1740 2074 1027 214 838 2171 500 2055 1192 1230 1922 2256 1067 254 2653 1359 2457 1385 1374 1412 1962 2296 255 2069 1983 689 2639 1567 1414 1452 1150 1484 2212 1399 2165 871 52
Surreal_Cooking	2576 1391 1256 2537 1029 2545 153 657 518 998 2408 2645 2236 2502 676 247 1762 1140 128 1142 1991 666 1393 594 259 895 919 1859 2338 1790 1148 1385
Loud_Cooking	109 815 408 2388 967 859 1636 1655 937 1717 2562 2181 173 1390 201 1892 2363 213 578 2158 2074 2403 2028 2535 2340 2114 1591 1358 90 2380 1302 921
PostModern_Sports	1493 798 273 953 1907 1249 909 2514 212 1695 2514 1749 1655 1295 1522 424 1292 488 1122 2059 2594 125 315 1659 1602 1427 2579 852 1202 435 1254
